tick,node,drive,phase_tick,coherence,energy,phase,pathway
15,22,0,16,0,0,free,free_pool
15,23,0,16,0,0,free,free_pool
15,24,0,16,0,0,free,free_pool
15,25,0,16,0,0,free,free_pool
15,26,0,16,0,0,free,free_pool
15,27,0,16,0,0,free,free_pool
15,28,0,16,0,0,free,free_pool
15,29,0,16,0,0,free,free_pool
15,30,0,16,0,0,free,free_pool
15,31,0,16,0,0,free,free_pool
16,0,0,17,0,0,free,free_pool
16,1,0,17,0,0,free,free_pool
16,2,0,17,0,0,free,free_pool
16,3,0,17,0,0,free,free_pool
16,4,0,17,0,0,free,free_pool
16,5,0,17,0,0,free,free_pool
16,6,0,17,0,0,free,free_pool
16,7,0,17,0,0,free,free_pool
16,8,0,17,0,0,free,free_pool
16,9,0,17,0,0,free,free_pool
16,10,0,17,0,0,free,free_pool
16,11,0,17,0,0,free,free_pool
16,12,0,17,0,0,free,free_pool
16,13,1,17,3,1,formation,depression_consumption
16,14,0,17,1,1,formation,depression_consumption
16,15,0,17,0,1,free,free_pool
16,16,0,17,0,0,free,free_pool
16,17,0,17,0,0,free,free_pool
16,18,0,17,0,0,free,free_pool
16,19,0,17,0,0,free,free_pool
16,20,0,17,0,0,free,free_pool
16,21,0,17,0,0,free,free_pool
16,22,0,17,0,0,free,free_pool
16,23,0,17,0,0,free,free_pool
16,24,0,17,0,0,free,free_pool
16,25,0,17,0,0,free,free_pool
16,26,0,17,0,0,free,free_pool
16,27,0,17,0,0,free,free_pool
16,28,0,17,0,0,free,free_pool
16,29,0,17,0,0,free,free_pool
16,30,0,17,0,0,free,free_pool
16,31,0,17,0,0,free,free_pool
17,0,0,18,0,0,free,free_pool
17,1,0,18,0,0,free,free_pool
17,2,0,18,0,0,free,free_pool
17,3,0,18,0,0,free,free_pool
17,4,0,18,0,0,free,free_pool
17,5,0,18,0,0,free,free_pool
17,6,0,18,0,0,free,free_pool
17,7,0,18,0,0,free,free_pool
17,8,0,18,0,0,free,free_pool
17,9,0,18,0,0,free,free_pool
17,10,0,18,0,0,free,free_pool
17,11,0,18,0,0,free,free_pool
17,12,1,18,3,1,formation,depression_consumption
17,13,0,18,1,1,formation,depression_consumption
17,14,0,18,0,1,free,free_pool
17,15,0,18,0,0,free,free_pool
17,16,0,18,0,0,free,free_pool
17,17,0,18,0,0,free,free_pool
17,18,0,18,0,0,free,free_pool
17,19,0,18,0,0,free,free_pool
17,20,0,18,0,0,free,free_pool
17,21,0,18,0,0,free,free_pool
17,22,0,18,0,0,free,free_pool
17,23,0,18,0,0,free,free_pool
17,24,0,18,0,0,free,free_pool
17,25,0,18,0,0,free,free_pool
17,26,0,18,0,0,free,free_pool
17,27,0,18,0,0,free,free_pool
17,28,0,18,0,0,free,free_pool
17,29,0,18,0,0,free,free_pool
17,30,0,18,0,0,free,free_pool
17,31,0,18,0,0,free,free_pool
18,0,0,19,0,0,free,free_pool
18,1,0,19,0,0,free,free_pool
18,2,0,19,0,0,free,free_pool
18,3,0,19,0,0,free,free_pool
18,4,0,19,0,0,free,free_pool
18,5,0,19,0,0,free,free_pool
18,6,0,19,0,0,free,free_pool
18,7,0,19,0,0,free,free_pool
18,8,0,19,0,0,free,free_pool
18,9,0,19,0,0,free,free_pool
18,10,0,19,0,0,free,free_pool
18,11,1,19,3,1,formation,depression_consumption
18,12,0,19,1,1,formation,depression_consumption
18,13,0,19,0,1,free,free_pool
18,14,0,19,0,0,free,free_pool
18,15,0,19,0,0,free,free_pool
18,16,0,19,0,0,free,free_pool
18,17,0,19,0,0,free,free_pool
18,18,0,19,0,0,free,free_pool
18,19,0,19,0,0,free,free_pool
18,20,0,19,0,0,free,free_pool
18,21,0,19,0,0,free,free_pool
18,22,0,19,0,0,free,free_pool
18,23,0,19,0,0,free,free_pool
18,24,0,19,0,0,free,free_pool
18,25,0,19,0,0,free,free_pool
18,26,0,19,0,0,free,free_pool
18,27,0,19,0,0,free,free_pool
18,28,0,19,0,0,free,free_pool
18,29,0,19,0,0,free,free_pool
18,30,0,19,0,0,free,free_pool
18,31,0,19,0,0,free,free_pool
19,0,0,20,0,0,free,free_pool
19,1,0,20,0,0,free,free_pool
19,2,0,20,0,0,free,free_pool
19,3,0,20,0,0,free,free_pool
19,4,0,20,0,0,free,free_pool
19,5,0,20,0,0,free,free_pool
19,6,0,20,0,0,free,free_pool
19,7,0,20,0,0,free,free_pool
19,8,0,20,0,0,free,free_pool
19,9,0,20,0,0,free,free_pool
19,10,1,20,3,1,formation,depression_consumption
19,11,0,20,1,1,formation,depression_consumption
19,12,0,20,0,1,free,free_pool
19,13,0,20,0,0,free,free_pool
19,14,0,20,0,0,free,free_pool
19,15,0,20,0,0,free,free_pool
19,16,0,20,0,0,free,free_pool
19,17,0,20,0,0,free,free_pool
19,18,0,20,0,0,free,free_pool
19,19,0,20,0,0,free,free_pool
19,20,0,20,0,0,free,free_pool
19,21,0,20,0,0,free,free_pool
19,22,0,20,0,0,free,free_pool
19,23,0,20,0,0,free,free_pool
19,24,0,20,0,0,free,free_pool
19,25,0,20,0,0,free,free_pool
19,26,0,20,0,0,free,free_pool
19,27,0,20,0,0,free,free_pool
19,28,0,20,0,0,free,free_pool
19,29,0,20,0,0,free,free_pool
19,30,0,20,0,0,free,free_pool
19,31,0,20,0,0,free,free_pool
20,0,0,21,0,0,free,free_pool
20,1,0,21,0,0,free,free_pool
20,2,0,21,0,0,free,free_pool
20,3,0,21,0,0,free,free_pool
20,4,0,21,0,0,free,free_pool
20,5,0,21,0,0,free,free_pool
20,6,0,21,0,0,free,free_pool
20,7,0,21,0,0,free,free_pool
20,8,0,21,0,0,free,free_pool
20,9,1,21,3,1,formation,depression_consumption
20,10,0,21,1,1,formation,depression_consumption
20,11,0,21,0,1,free,free_pool
20,12,0,21,0,0,free,free_pool
20,13,0,21,0,0,free,free_pool
20,14,0,21,0,0,free,free_pool
20,15,0,21,0,0,free,free_pool
20,16,0,21,0,0,free,free_pool
20,17,0,21,0,0,free,free_pool
20,18,0,21,0,0,free,free_pool
20,19,0,21,0,0,free,free_pool
20,20,0,21,0,0,free,free_pool
20,21,0,21,0,0,free,free_pool
20,22,0,21,0,0,free,free_pool
